REACTANT_1,REACTANT_2,CATALYST,ACTIVITY
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC(F)=C(F)C(F)=C3)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,0.3802496787544891
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC=C3)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,0.5884262380364328
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC4=CC=CC=C34)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,1.0279677646472567
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC=C)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,0.21602335015635915
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=CC=C3)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,1.3016886828650613
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(C=C3)C(F)(F)F)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,0.2784414535524571
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(F)C(F)=C3F)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,0.6664353478110076
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC(F)=C(F)C(F)=C3)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,0.3802496787544891
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC=C3)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,0.6035896557640847
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC4=CC=CC=C34)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,1.3016886828650613
